age_from,age_to,node,knn_stability
1,2,I44,0.02040816326530612
1,2,G43,0.041666666666666664
1,2,C33,0.0
1,2,L30,0.0
1,2,B53,0.0
1,2,C79,0.02040816326530612
1,2,D77,0.02040816326530612
1,2,H61,0.0
1,2,M66,0.0
1,2,D29,0.0
1,2,I77,0.0
1,2,L26,0.0
1,2,F11,0.0
1,2,F44,0.041666666666666664
1,2,A22,0.0
1,2,C90,0.0
1,2,C02,0.0
1,2,B01,0.0
1,2,M43,0.0
1,2,A03,0.0
1,2,H95,0.02040816326530612
1,2,D16,0.02040816326530612
1,2,K62,0.0
1,2,L21,0.02040816326530612
1,2,C30,0.0
1,2,I13,0.0
1,2,B22,0.0
1,2,K75,0.02040816326530612
1,2,H20,0.0
1,2,A34,0.0
1,2,D21,0.0
1,2,I02,0.0
1,2,L74,0.0
1,2,F41,0.0
1,2,F30,0.041666666666666664
1,2,B23,0.0
1,2,C00,0.0
1,2,J11,0.0
1,2,I47,0.0
1,2,B03,0.02040816326530612
1,2,H11,0.0
1,2,H26,0.02040816326530612
1,2,M53,0.0
1,2,G54,0.041666666666666664
1,2,N22,0.02040816326530612
1,2,E21,0.0
1,2,M22,0.0
1,2,C68,0.0
1,2,F06,0.0
1,2,M77,0.041666666666666664
1,2,L41,0.0
1,2,B44,0.0
1,2,B64,0.0
1,2,H35,0.0
1,2,C47,0.0
1,2,B92,0.0
1,2,D82,0.0
1,2,B41,0.02040816326530612
1,2,B52,0.02040816326530612
1,2,F33,0.0
1,2,L29,0.0
1,2,C21,0.041666666666666664
1,2,L60,0.0
1,2,F05,0.0
1,2,F00,0.0
1,2,F13,0.0
1,2,M94,0.0
1,2,M96,0.02040816326530612
1,2,G10,0.02040816326530612
1,2,C05,0.0
1,2,D75,0.02040816326530612
1,2,E35,0.0
1,2,K14,0.0
1,2,K38,0.02040816326530612
1,2,J04,0.02040816326530612
1,2,A20,0.0
1,2,G07,0.02040816326530612
1,2,M62,0.0
1,2,H81,0.0
1,2,K23,0.02040816326530612
1,2,K91,0.02040816326530612
1,2,K60,0.0
1,2,A46,0.0
1,2,C01,0.0
1,2,C06,0.02040816326530612
1,2,C48,0.0
1,2,G82,0.47058823529411764
1,2,J47,0.02040816326530612
1,2,K12,0.0
1,2,H74,0.0
1,2,M30,0.041666666666666664
1,2,I22,0.02040816326530612
1,2,N43,0.02040816326530612
1,2,A63,0.0
1,2,B98,0.02040816326530612
1,2,J05,0.0
1,2,M79,0.0
1,2,A94,0.02040816326530612
1,2,L82,0.041666666666666664
1,2,K35,0.1111111111111111
1,2,B80,0.041666666666666664
1,2,J33,0.02040816326530612
1,2,I52,0.0
1,2,A85,0.02040816326530612
1,2,K46,0.0
1,2,G26,0.0
1,2,B51,0.041666666666666664
1,2,H05,0.0
1,2,D61,0.0
1,2,K11,0.02040816326530612
1,2,L75,0.041666666666666664
1,2,K07,0.0
1,2,D84,0.02040816326530612
1,2,F45,0.0
1,2,C91,0.0
1,2,M81,0.0
1,2,J39,0.0
1,2,F16,0.041666666666666664
1,2,N11,0.02040816326530612
1,2,F95,0.0
1,2,D50,0.0
1,2,E64,0.0
1,2,H13,0.041666666666666664
1,2,K40,0.0
1,2,F82,0.08695652173913043
1,2,E88,0.0
1,2,J92,0.02040816326530612
1,2,A74,0.02040816326530612
1,2,G35,0.02040816326530612
1,2,K42,0.0
1,2,J93,0.0
1,2,G98,0.06382978723404255
1,2,J20,0.041666666666666664
1,2,B50,0.0
